Date,comment,category,level
04/07/2021,"শিশুবান্ধব নীতি শুধু শিশুদের জন্যই ভালো নয়, তা ব্যবসার জন্যও ভালো",neutral,2
04/07/2021,কাউকে মিথ্যা বলবেন না,positive,0
04/07/2021,বিশ্বের বৃহত্তম শরণার্থী বসতিগুলোর মধ্যে অন্যতম বাংলাদেশের রোহিঙ্গা শরনার্থীদের আশ্রয়শিবিরে বিপর্যয়কর অগ্নিকাণ্ডে সহায়তা দিতে ইউনিসেফ এবং এর সহযোগীরা প্রচুর পরিমাণে ত্রাণ সহায়তা কার্যক্রম চালাচ্ছে,positive,0
04/07/2021,অনেক শিশু তাদের শিক্ষণ কেন্দ্রগুলোকে পুড়ে ছাই হয়ে যেতে দেখেছে।,negative,1
04/07/2021,হারিয়ে যাওয়া শিশুদের আশ্রয় দেওয়া মহৎ কাজ,positive,0
04/07/2021,দুর্যোগে ক্ষতিগ্রস্ত সকল রোহিঙ্গা শিশু এবং পরিবারের প্রতি আমরা সমবেদনা প্রকাশ করছি।,positive,0
04/07/2021,কোভিড -১৯ এর বিস্তারের ফলে দেশব্যাপী মাতৃ এবং শিশু স্বাস্থ্য (এমসিএইচ) সম্পর্কিত সেবা গ্রহণের হার ৫০ শতাংশ নিচে নেমে গিয়েছিল।,negative,1
04/07/2021,বাংলাদেশের পাঁচটি দরিদ্রতম জেলার একটি হিসাবে ভোলা স্বতন্ত্র চ্যালেঞ্জের মুখোমুখি। ,negative,1
04/07/2021,শিশুদের অক্সিজেন থেরাপির প্রয়োজন রয়েছে এমন জটিল ক্ষেত্রে সেবা দিতে আমরা এখন আগের তুলনায় অনেক বেশি আত্মবিশ্বাসী এবং আরও সুশৃংখল বোধ করি।,positive,0
04/07/2021,"স্বাস্থ্যসেবার ক্ষে্ত্রে যে গুরুতর সমস্যা রয়েছে সেগুলোর দিকে কোভিড-১৯ নতুনভাবে আলোচনায় এনেছ,এমনকি শিশু সমস্যা গুলোও",positive,0
04/07/2021,"সমগ্র বাংলাদেশে স্পেশাল কেয়ার নবজাতক ইউনিটগুলো স্থাপনে অবদান রাখার জন্য ইউনিসেফ যুক্তরাজ্যের ফরেন, কমনওয়েলথ অ্যান্ড ডেভলপমেন্ট অফিসের প্রতি আন্তরিক কৃতজ্ঞতা জানাচ্ছে।",positive,0
04/07/2021,সকল পথ শিশুদের শিক্ষার ব্যবস্থা করা অত্যন্ত গুরুত্বপূর্ণ,positive,0
04/07/2021,সব শিশু নিষ্পাপ।,positive,0
04/07/2021,"শিশু যেমন তার নানা বুদ্ধিমত্তার বিকাশ ঘটাবে খেলা বা বিনোদনের মধ্য দিয়ে, তেমনি বাইরে খেলার মধ্য দিয়ে তার সামাজিকতা বৃদ্ধি পাবে, শরীর গঠন হবে৷",positive,0
04/07/2021,মা-বাবা শিশুদের আলাদাভাবে সময় না দিয়ে শিশুদের তাদের পাশে বসিয়েই সিরিয়াল দেখতে বসে যান৷,negative,1
04/07/2021,ঢাকার অনেক শিশু এখন বাংলা বলতে পারার আগেই হিন্দি শিখে যায়৷,negative,1
04/07/2021,"ঢাকা মহানগরীর ৬৪ শতাংশ স্কুলে খেলাধুলার কোনো ক্লাসই নেয়া হয় না, বেশিরভাগ স্কুলেই খেলার মাঠ নাই",negative,1
04/07/2021,"শিশুদের বিনোদনের মধ্যে প্রধান হলো স্কুলে, খেলার মাঠে বা খোলা জায়গায় সহপাঠী এবং বন্ধু বান্ধবের সঙ্গে খেলাধুলা করা৷",positive,0
04/07/2021,"শিশুদের যদি ঘরে আবদ্ধ রেখে শুধু টিভি, অনলাইন বা কম্পিউটার বিনোদনের মধ্যে রাখা হয় তাহলে সে বিচ্ছিন্ন জীবনযাপনে অভ্যস্ত হয়ে পড়বে৷",negative,1
04/07/2021,শিশুদের মধ্যে এক ধরনের পুলক থাকে৷ খেলাধুলা ও দৌড়াদৌড়ির মাধ্যমে তারা তার প্রকাশ ঘটাতে চায়৷,positive,0
04/07/2021,ঢাকায় স্কুলগামী শিশুদের প্রায় ৭৭ ভাগ পর্নোগ্রাফি দেখে ৷,negative,1
04/07/2021,শিশুদের সামাজিক কাজে অংশগ্রহণও তাদের জন্য বড় একটি বিনোদন ৷,positive,0
04/07/2021,"শিশুদের পরিচ্ছন্নতা অভিযান, গাছ লাগানো, শীতবস্ত্র সংগ্রহ ও বিতরণ ইত্যাদি কাজে অংশ নেয়ার ব্যবস্থা করে দিতে হবে",positive,0
04/07/2021,বাংলাদেশ মহিলা পরিষদের হিসেবে শিশু নির্যাতনের সংখ্যা বেড়েছে৷,negative,1
04/07/2021,"পরিসংখ্যান বলছে, বাংলাদেশে যারা ধর্ষণের শিকার হচ্ছে, তাদের অধিকাংশই মেয়ে শিশু৷",negative,1
04/07/2021,শিশু ধর্ষণ এবং শিশুর প্রতি সহিংসতার নেপথ্যে রয়েছে আইনি দুর্বলতা ও দীর্ঘসূত্রিতা৷,negative,1
04/07/2021,শিশু ধর্ষণের ঘটনায় অনেক সময় থানায় অভিযোগই করা হয় না ৷,negative,1
04/07/2021,শিশু ধর্ষণ এবং শিশুর প্রতি যৌন সহিংসতা ক্রমেই বাড়ছে৷,negative,1
04/07/2021,"গত ১০ বছরে ঢাকায় ধর্ষণসহ নারী ও শিশু নির্যাতনের ঘটনা ঘটেছে ৩,৯৮০টি, মামলা হয়েছে ১,৫৫৬টি, অথচ শাস্তি হয়েছে মাত্র ৪০টি ঘটনায়৷",negative,1
04/07/2021,বাংলাদেশে শিশু ধর্ষণের মামলায় ১৮০ দিনের মধ্যে বিচার শেষ হওয়ার কথা থাকলেও বছরের পর বছর মামলা ঝুলতে থাকে ৷,negative,1
