Text,Label
"পুরাই অস্থির!!! ""সাকিল, চট্টগ্রাম",1
নাজিফা তুষি আপু অবিনয় টা বেস্ট ছিল ওনার জন্য কান্না চলে আসছে,1
পুরাই আগুন অনেক দিনের অপেক্ষায় আছি এই কাজ টা দেখার জন্য!,1
"ইন্টারেস্টিং স্টোরি,অভিনয়, সিনেমেটোগ্রাফিও জোস",1
এট লিস্ট অনন্ত জলীল এর ১০০ কোটি টাকার মুভির ট্রেইলার থেকে হাজারগুনে বেটার!! অনেক সুন্দর এক্টিং!,1
এই গল্পে প্রচুর থ্রিল থাকবে কি হবে কি হবে এটা বুঝতেই পারবে না কেউ।।আগুন একটা কাজ হবে এই সিন্ডিকেট এ️️love u guru,1
নিখুঁত অভিনয়। এরকম সিরিজ তৈরি করলে দেশীয় কন্টেন্ট দেখতে আমরা মুখিয়ে থাকবো।,1
"চরকি মানেই ভিন্ন কিছু, আর সেটা যদি হয় আফরান নিশোকে সাথে নিয়ে, তাহলে তা বলার অপেক্ষা রাখেনা, এটাও ফাটিয়ে দিবে,",1
অনেক ভালো মানের সিরিজ,1
আরফান নিশো ভাইয়ের নাটকের কাছে বাংলা ছায়াছবিও হার মানবে,1
আগুন লাগিয়ে দিলো এক ঝলকেই,0
আশা রাখছি এ বছরের সেরা ওয়েব সিরিজ হবে এটা,1
নিশো ভাই মানেই আগুন,1
ভাই অসাধারণ নির্মাণ ছিলো। অভিনয় ছিলো জাস্ট আউটস্ট্যান্ডিং। মুগ্ধ হয়েছি দেখে,1
ভাইরে🇧🇩ভাই এটা কি দেখলামপুরাই আগুন🇧🇩বাংলা মুভি ও এমন গল্প বাঘা বাঘা সব অভিনেতার সব অভিনয়।,1
বাংলাদেশে নতুন কিছুর আশা,0
আগের যুগের মান্না এখনকার যুগের নিশো।,1
নাটক গুলো সমাজ সংস্করণের কিছু যে মেসেজ থাকে এরকম নাটক আরো বেশি বেশি হওয়া দরকার,1
সিন্ডিকেট 2 চাই প্রথম থেকে শেষ পর্যন্ত প্রায় টুইস্ট অস্থির লাগছে সেকেন্ড পার্ট টা দেখতে চাই,1
পুরাই আগুন,1
"অসাধারণ, অনন্য️ শুভকামনা পুরো টিমের প্রতি।",1
প্রতিটা সেকেন্ড ছিলো দেখার মতো,1
বস মানেই আগুন।।। He is Mr. Perfect,1
এক কথায় আবারোও নতুন একটি ওয়েব সিরিজ পাওয়া যাচ্ছে এবং দারুন অভিনয় দারুন কমিউনিকেশন,1
অতি শ্রীগ্রই শ্রীগ্রই নিশো ভাই কে সিনেমায় দেখবো,0
অসাধারণ অভিনয় নিশো ভাই।,1
"চরকি মানেই ভিন্ন কিছু, আর সেটা যদি হয় আফরান নিশোকে সাথে নিয়ে, তাহলে তা বলার অপেক্ষা রাখেনা, এটাও ফাটিয়ে দিবে,",1
এটার জন্য আফরান নিশো বস শখের চুল কেটে ফেলেছিল অনেক অপেক্ষার️️,0
বাংলা নাটক ওয়েব সিরিজ এর বস নিশো,1
সেরার সেরা,1
অনেক ভালো মানের সিরিজ,1
এটার কি season 2 আসবে!?,0
নিশো বস ️,0
Mr. Robot series টাকে কপি-পেস্ট করে চালায় দিলেন। ক্রেডিট দিলেন না কেন,2
বস মানেই নতুন কিছু!,0
কাঁপাবে,1
এই সময়ের সেরা শিরিজ,1
জাহান্নামী,2
নাসির ভাইয়ের মতন শক্তিমান অভিনেতাকে এখানে দেখানো হয়নি,1
অসাধারণ,1
কাজল চোখ মেয়ে আমার দিবস কাটে বিবশ হয়ে তোমার চোখের চেয়ে,0
খুব ধীরগতির web series. দেখে কোনো মজা পাইলাম না। সময় নষ্ট হইছে।,2
নিশো যে কত ভালো অভিনয় করে এই সিরিজটা দেখলেই বোঝা যায়,1
️ নাটক টা দেখে ফেলছি অনেক সুন্দর হয়েছে,1
নাসির ভাই বাংলার নাওয়াজ উদ্দিন,0
এবার ভালো লাগছে শিহাব শাহীনের কাজ।,1
দারুণ,1
আমার দেখা সেরা ওয়েব ফিল্ম,1
সিন্ডিকেট ওয়েব সিরিজ টা কোথা থেকে দেখবো- যদি কেউ বলতেন ️,0
নাজিফা তুষি আপু অবিনয় টা বেস্ট ছিল ওনার জন্য কান্না চলে আসছে,1
বাংলা সিনেমার কথা বলে লাভ নেই,2
বুবলীর এখানে অভিনয় অসাধারণ করেছে,1
অভাবের সময়ে কোন বন্ধু ও পাশে থাকেনা,1
বুবলীর মেমের এখানে অভিনয় অসাধারণ করেছে অনেক ধন্যবাদ আপনাদের সবাইকে,1
২০২২ সালের খুব সুন্দর একটা ছবি,1
অসাধারণ বাস্তবতার বহিঃপ্রকাশ,1
ভালো মুভি,1
চাল নাই কিন্তু একুরিয়ামে মাছ আছে আপাতত মাছগুলো সিয়াম কে রান্না করে দাও,2
"চাল নাই তবে গলায় আর কানে সরনের চিইন আছে,,গাঁজাখুরি সব মুভি।।।",2
বুবলিকে আমার ভালো লাগে,1
সালা বলের মুভি,2
ছবিটা সুন্দর ছিলো,1
আহা রে বাংলাদেশের নায়ক দেখলে হাসি পায়,2
"চাউল নাই, মেকাপ করার টাকা ঠিকি থাকে।",2
"অভাবের সংসারে এতো মেকাপ,,,,,",2
বাংলাদেশের মুভি গুলা এখন নাটকে পরিনত হচ্চে দিন দিন কোন সিনেমায় কোন একশন নাই,2
দোনস্টার সিয়াম,2
অসাধারন ১ টা মুভি বাস্তবের মত,1
"সুন্দর চিলো এই মুভিটা""বাস্তব জীবনের প্রেম ভালোবাসার সাথে অনেক মিল আছে",1
পরান হাওয়া থেকে অনেক সুন্দর মুভি টান,1
"এই মূভিটা যে দেখচে সে বুজতে পারছে,, সেই একটা মুভি",1
ডায়লগ ভেলিভারি ই হয়না। নাটকের মতো ফিল হয় এটা কিসের মুভি,2
"এটা কি নায়ক না পাগল, এ কি নায়ক হবার যোগ্য? ফালতু একটা",2
বুবলি একটু বেশি সুন্দর করে ই কথা বলে,1
নাটকের মতো মুবি গুলো আমি দেখি না পালতু নায়ক চিয়াস,2
ফাটাফাটি একটা মুভি আমি দেখেছি,1
আমার দেখা মত পৃথিবীর সবচাইতে ফালতু ছবি হইছে টান,2
অনেক সুন্দর একটা মুভি কিন্তু এটা নিয়ে আলোচনা কম।,1
"অনেক আগে দেখলাম অসাধারন, ,গালি গুলো সেই",1
ভালো লাগার মতো,1
দেখেছি।,0
ফালতু,2
অসাধারণ একটা মুভি অনেক বার দেখেছি। মিস করি সব বন্ধুদের। জেখানেই থাকো বন্ধুরা ভালো থাকিস।,1
অসাধারণ একটা মুভি,1
আমি কয়েকবার দেখেছি।অনেক অনেক ভালো লাগে মুভিটা সাথে প্রতিটি চরিত্রকে।অনেক অনেক ভালোবাসা নেটওয়ার্ক এর বাইরের টিমকে,1
অসাধারণ ছিলো,1
অসাধারণ,1
আমার নাফিজা পুসি,2
"ইন্টারেস্টিং স্টোরি,অভিনয়, সিনেমেটোগ্রাফিও জোস",1
নিশো একটা আগুনের নাম। সেই আগুন এ জ্বলার জন্য অপেক্ষা করছি,1
লুজার,2
ভাইয়া ফুল নাটক পাইলাম না,2
আফরান নিশো মানেই নতুন কিছু,1
হইচই এ কাইজার আর চরকি তে সিন্ডিকেট নিশো on fire,1
আগুন লাগিয়ে দিলো এক ঝলকেই,1
এখুনকার সিনেমার যেগুলো নায়ক আছেন তাদের সাথে চ্যালেঞ্জ আফরান নিশোর মত অভিনয় করার.. AFRAN NISHO BEST,1
পুরাই আগুন এবং Goosebumps ️,1
ভাই অসাধারণ নির্মাণ ছিলো। অভিনয় ছিলো জাস্ট আউটস্ট্যান্ডিং। মুগ্ধ হয়েছি দেখে,1
নিখুঁত অভিনয়। এরকম সিরিজ তৈরি করলে দেশীয় কন্টেন্ট দেখতে আমরা মুখিয়ে থাকবো।,1
আজকে দেখলাম পুরাই টুইস্ট,1
পুড়াই আগুন,1
শি্হাব শাহিন মানেই অসাধারণ কিছু,1
নিশো ভাই মানেই আগুন!,1
বাংলা ছবি থেকে ও ভালো হয় বস এর নাটক ️️ এমন কি অনন্ত জলিল দিব দা ডে থেকেও সেরা,1
সেরা,1
পোলাডার অভিনয় জাস্ট আগুন।,1
ইউটিউবে দেইখা ফাল পারতে পারতে এখন দিছে না চরকি তে ডুকাইয়া?,2
অনেক দিন এটার জন্য অপেক্ষায় আছি,1
অসাধারণ ছিল,1
রাফসান হকের রান্না কখনো খারাপ হতে পারে না,1
শেষের মুহূর্তটা পূর্ণ জন্ম মত,1
এই ভাইয়ার ডায়ালগ ডেলিভারি অসাধারণ...,1
"শেষের এই টুইস্টটা অনেক ভাল লেগেছ,",1
চঞ্চল চৌধুরী অনবদ্য acting,1
সহমত। আসলেই অন্য লেভেলের হইছে।,1
"আসলেই,কঠিন রহস্যঘেরা।",1
কারাগার! Outstanding...,1
বিশ্বমানের ওয়েব সিরিজ এটা।,1
"আমি ইচ্ছা করেই এখনও দেখি নি,dissatisfaction থেকে যাবে তাই সিজন 2 আসলে একবারে দেখবো",1
অসাধারন series... এরকম কাজ বাংলাদেশ থেকে আরো চাই। Love from India,1
অসাধারণ 10/10,1
পুরোটা শেষ করে মনে হয়েছে গল্প মাত্র শুরু হলো!,1
"এই বছরের বেস্ট সিরিজ হলো ""কাইজার""।",1
"সত্যিই প্রচন্ড বিরক্তিকর ছিল শেষটা এমন এক জায়গায়ে শেষ কিন্তু, অসাধারণ ছিলো বলতে হবে আর আমি অপেক্ষা আছি পার্ট 2 এর জন্য",1
অসাধারণ ৷ চঞ্চল চৌধুরী সেরা সেরা,1
এক কথায় অসাধারণ,1
"চঞ্চল চৌধুরী মানেই সেরা। এটা আর বলার অপেক্ষা রাখেনা। আর তাসনিয়া ফারিন অসাধারণ, অসামান‍্যা",1
আমার ভীষণ ভালো লেগেছে।,1
"দুর্দান্ত, কিন্ত এটাও বলতে চাই, অনেক টেনে টেনে লম্বা করা হয়ছে৷ এই গল্প টুকু ৪/৫ টা এপিসোডেই দেখানো যেত।",1
দুর্দান্ত!,1
চঞ্চল চৌধুরীর কারণে বাংলা চলচিত্র টিকে আছে,1
"চঞ্চল চৌধুরী সব খানেই সেরা,কমেডি,ভিলেন,নায়কতিনি একাই একশো️️",1
একটা বাজে জিনিস সময়টাই লস হইলো,2
"খুবই বাজে ভাষায় কিছু কথা বেড়িয়ে আসছিলো ভেতর থেকে, কিন্তু সামাজিকতা চিন্তা করে আর বলতে বা লিখতে পারলাম না, ফাউল কোথাকার।",2
এইটা একটা ক্রিয়েশন হলো?,2
এটা কিন্তূ আমি বুঝলাম না।কি থেকে কি হলো,0
টিকটক দেখে এসেছি।,0
ফালতু ছবি।।,2
ভালো হয় নাই,2
গানটা একেবারে আগুন ভারত বাংলাদেশ মিলিয়ে বাংলা ওয়েব সিরিজও একদিন কোরিয়ান ওয়েব সিরিজের মতো বিশ্ব জয় করবে।,1
"বাংলাদেশে এধরনের কাজ, অবিশ্বাস্য...",1
চঞ্চল চৌধুরী এই প্রজন্মের শ্রেষ্ঠ বাঙালি অভিনেতা ️,1
দারুণ ট্রেইলার!! এবার জমবে মজা,1
চঞ্চল যেখানে সেখানে ভালো কিছু হবে️️,1
"খুবই ভাল সিনেমা,,, পারিবারিকভাবে দেখার মত সিনেমা",1
চঞ্চল চৌধুরী বাংলাদেশের নাম্বার ওয়ান অভিনেতা। না কেউ আছে না কোনদিন আর কেউ আসবে।,1
মিশন এক্সট্রিমের খাওয়া নাই বলির কাছে পুরাই আগুন,1
"প্রতিটি দিন বেঁচে থাকার জন্য একটি ভাল দিন, সূর্যের আলো হোক বা না হোক",0
"তুহিন ভাইয়ের কন্ঠটা, অনেক দিন পর শিহরণ দিয়ে গেল! ️️",1
অস্থির এক কথায় ️,1
চঞ্চল চৌধুরী এবং সালাউদ্দিন লাভলু ধামাকা কিছু হবে অপেক্ষায় রইলাম ️️️,1
আরেকটা ধামাকা️,1
আগুন শুধু আগুন কোন কথা হবে না ।,1
বাংলাদেশের ওয়েব সিরিজগুলো আন্তর্জাতিক মানের হয়।🇧🇩,1
চঞ্চল মানেই অন্যরকম,1
"এমন ছবি আরো চাই, ভাষা কোন বিষয় না। ভালো ছবি করলে একদিন আন্তর্জাতিক বাজার দখল করতে পারবে।",1
"ভাই জস্ট ফাটিয়ে দিয়েছে,,,, হইচই র বেস্ট সিরিজ হবে এটা",1
অনেকদিন পর একটা মনের মতো বাংলা সিনেমার ট্রেইলর পেলাম,1
বাংলার জাত অভিনেতা সব একসাথে গানটা তুহিন ভাইয়ের ️ সব মিলিয়ে ফাটাফাটি হবে,1
চঞ্চল চৌধুরী আমাদের বাংলাদেশের গর্ব️🇧🇩,1
এক কথায় অসাধারণ,1
এত সুন্দর জিনিস চঞ্চল ভাইয়া আর পলাশ ভাই এ দিতে পারে লাস্ট চিন টা মনের মত ️️ best boli,1
পুরাই আগুন,1
hoichoi এক নম্বর কোম্পানি,1
জাস্ট অসাধারণ। চঞ্চল চৌধুরী স্যার আপনার তুলনা নাই। আপনি লেজেন্ড অভিনেতা️️️️️,1
চঞ্চল চৌধুরী যে খানে আছে সেটা ভালো না হয়ে পারেই না.. আর তার সাথে পলাশ.. সাফা কবির.. আর কি লাগে.. জাস্ট অসাধারণ...,1
জাস্ট আগুন,1
অসাধারণ মন্দার এর পর বলি ফাটাফাটি ️️️️️️,1
ফুল সিরিজ টা ইউটিউবে আসবে কবে?,1
মনে হচ্ছে একটা মাস্টারপিস মাস্ট ওয়াচ হতে যাচ্ছে...,1
সবই কী একই ধাঁচের?? কিছু ফানি কিছু সিরিয়াস হওয়া উচিত ।আর বাচ্চাদের জন্য কিছু বানানো উচিত।,2
৪ ঘন্টার পুরাটাই,1
"টপিকটা তো একদম দেশের মেরুদন্ড,,,,",2
রাত ৯ টার কিছু পরে নাটকটি আপলোড করা হয় আবার রিমুভ করা হয় বুঝলাম না কেন?,2
এখনো ঘোর কাটছে না।আজ দেখলাম,1
"মরিচিকা আর রেডরুম,,, সুপার হিট,,,,,এই দুইটা সিরিজ ও হিট হবে",1
নাটক টা দেখবো কী ভাবে??,0
ওয়াও,1
অসাধারণ,1
এরকম একটা ওয়েব সিরিজ ১০০ টা দিন দা ডের মতো মুভিকে হার মানাবে।,1
শুভকামনা রইল,1
আফরান ভাইয়ের মুভি চাই,1
নিশোর সাথে ফারিন কেন আবারভাল্লাগলো না মেহজাবিন টিশা থাকতে,2
দারুণ হয়েছে সিনেমা বানাতে পারতেন সিনেমা হলে গিয়ে দেখতাম,1
"নিশোর বোনের ক্যরেক্টারে যেই মেয়েটা ওনার নাম জানলে কেউ জানাবেন প্লিজ,,,",1
এই গুলা সিনেমা হলে মুক্তি দেয়া দরকার,1
দিলেন দেখলাম আবার প্রাইভেট করে দেওয়া হলো,2
মরিচীকা -২ চাই,1
খুব অসাধারণ হবে,1
"খালার অভিনয় অসাধারন হয়েছে,,,,,",1
ফারিন মেয়েটার অভিনয় ভালো না!,2
মাইন্ড ব্লোইং,1
ভাই এইটা কি দেখলাম,1
মোবাইলে সাউন্ড নাই কেন,2
বিয়ের আগের দৈহিক মেলামেশা() খুব খারাপ নোটিফিকেশন আমাদের দেশের সংস্কৃতির প্রতি সম্মান রেখে নাটক বানানো উচিত,2
আমার বলার সিরিজ,2
নাটক টা পুরোটা দিন প্লিজ,1
কি হিসেবে এই সিরিজের নাম সিন্ডিকেট দিলো?? কেউ বলবেন?,2
বাংলাদেশের মুভির থেকে বাংলাদেশের নাটক এবং ওয়েবসিরিজ হাজার হাজার গুনে ভালো! কারা কারা একমত️️️,1
"চঞ্চল চৌধুরীর অভিনয় যাদের ভালো লাগে শুধু তারাই লাইক করবেন,দেখতে চাই কতজন ভক্ত আছে তার",1
হাওয়া আর পরান মুভি চাই ভাই,1
"আছা কমেন্ট কেউ কি দেখোছো কেমন এই সিরিজ টি, ভালো হলে দেখবো, না হলে তিন ঘন্টা সময় নষ্ট করার ইচ্ছে নেই",0
কেমনে আপলোড দিলি ভাই...? চ্যানেল এখনো জীবিত আছে..?,0
কেমনে সম্ভব এতো সুন্দর অভিনয় করা।মনেই হলো না কোন অভিনয় দেখছি।২য় পার্টের জন্য অপেক্ষায় আছি........,1
ফারিনের পমপম দুটো জামাভেদ করে বেরিয়ে এসে আজাদ হতে চাইছে কেউ প্লিজ সাহায্য করুন পমপম দুটোকে।,2
ভাই আপনে লিজেন্ড....দোয়া করি যেন সুন্দর একটা বউ পান,0
২৫০ বছর কিছু খায় নাই।যত সব ভন্ডামি অভিনয়,2
আমাদেরকে তো মুভিটা দেখাইলা চ্যানেল টার যখন হুগা মারা সারা হবে তখন আপনার বুকভরা বেদনা তা কোথায় দেখবো,2
পাট ২ জন্য পাগল হয়ে গেছি,1
ভাই ভালোর জন্য বলছি নিজের চ্যানেল টা যদি টিকিয়ে রাখতে চান তাহলে ভিডিও টা ডিলেট করে দিন,0
পেঁপে খাওয়ার সময় ওই অফিসারের মুখের আওয়াজ খুবই বিরক্তিকর এবং বিচ্ছিরি অরুচি ঘেন্না কর,0
চঞ্চল চৌধুরী বাংলাদেশের মুভি ইন্ডাস্ট্রি কে একদিন উন্নতি শিখরে পৌঁছে দিতে পারবে ️ ভালোবাসা অবিরাম দাদা,1
যাক এখকার মুভি এবং সিরিজ এর কাহিনি কালার মোটামুটি সবকিছুই ভালো হচ্ছে,1
"গায়ের লোম দাঁড়ি গেছে ট্রেইলারটি দেখার সময়, পুরাই আগুন",1
একেই বলে চঞ্চল চৌধুরী। অভিনয় নিয়ে কোন প্রশ্ন হবে না। আর গল্প তো একবারে মাস্টারপিস এইটা তো একবারে ফাটিয়ে দিবে।,1
"চঞ্চল চৌধুরী জাত অভিনেতা নয়, ভয়ঙ্কর জাত অভিনেতা। বড় অবাক লাগে, একজন মানুষ কিভাবে নিজেকে হরেক রকম চরিত্রে সাজাতে পারে।",1
আমার সাজা কি শেষ হবে না?” বেস্ট লাইন ছিলো এইটা। পুরো অন্য লেভেলে নিয়ে গেছে😍,1
"ভাইরে ভাই,, ট্রেইলার দেখে গায়ে কাটা দিল। ভাই এটা কি? ২৫০ বছর কোন মানুষ বাচে! নাকি উনি ভুত?",0
গায়ে কাঁটা দিচ্ছে,0
বাংলাদেশ থেকে দারুন থেকে দারুনতর ওয়েব সিরিজ পেয়েই চলেছি। Just অন্য level এর এটা,1
সত্যিই বাংলাদেশের সিনেমার মান দিন দিন এগিয়েই যাচ্ছে🇧🇩,1
বাংলাদেশের ছবিতে গুলো অসাধারণ। প্রশংসা করার ভাষা থেকে না এতটাই সুন্দর হয়। এরকম আরো অনেক ভালো ভালো ছবিতে উপহার পেলে খুব খুশি হব।,1
বাপরে বাপ! আগুন। দেখতে হবে। Another masterpiece will coming soon..,1
ভাই রে ভাই! ট্রেইলার শেষ করার পরেও মিনিট খানেক ধরে গুজগাম্প ফিল করলাম! অসাধারণ!,1
ফুল ওয়েব সিরিজের লিংক?,1
পুরো ছবিটি দেখলাম। এক কথায় চমৎকার !! দারুন !!!! Part #2 দেখার জন্য মনটা অস্থির হয়ে আছে। কবে দেখতে পাবো জানালে খুশি হতাম।,1
"ভারত- বাংলাদেশের বাঙালি অভিনেতা দের মধ্যে চঞ্চল চৌধুরীই সেরা আমার কাছে , পশ্চিমবঙ্গ ভারত থেকে ️ , ভালোবাসা চঞ্চর স্যারের প্রতি ।",1
"বহুদিন বাংলাদেশ এর সিনেমা জগৎ ঘুমিয়ে ছিল,আবার জাগতে শুরু করেছে।।।।।।।।।️️️️️",1
"এবার মনে হয় চলচিত্রের ভালো দিন ফিরে এসেছে, 🤗",1
তাকদীর এর পর আবার একটা ভালো thriller। ভালোবাসা নেবেন কলকাতা থেকে।,1
"দুই টা জিনিস কারো জন্য অপেক্ষা করেনা। একটা সময় আরেক টা টাকা।""",0
স্যালুট মোশাররফ করিম। আপনি জীবন্ত কিংবদন্তি ️,1
বাংলাদেশে বেশ উচ্চ মানের কাজ হচ্ছে ️️️️️️,1
আশা করি।। হইচই কন্টেন্ট এখন improve হবে,2
সব সময় কাছের লোকেরাই বিশ্বাসঘাতকতা করে। পরে হয়তো ভুলটা বুঝতে পারে কিন্তু তখন অনেক দেরি হয়ে যায়,0
অনেক দিন পর রোমাঞ্চ বোধ করলাম। দেখার মত একটি নির্মান,1
এই সকল ট্রেইলার দেখলে মনে চায় বাংলা ছবি গুলো একটু দেখি। অসাধারণ ট্রেইলার!,1
Dear Hoichoi...... এই ফালতু মিসম্যাচ মৌচাক না বানিয়ে এইরকম রোমহর্ষক থ্রিলার বানান....দেখতে ভালো লাগে️️️,2
বাংলার ছোট পর্দার সেরা নায়ক মোশারফ করিম।,1
বাংলাদেশের বিখ্যাত অভিনেতা মোশারফ করিম টিচার কে পুলিশের ইন্সপেক্টর ইন চার্জ চরিত্রে অসাধারণ সুন্দর লাগ ছে ।,1
জমবে খেলা!,0
আশাকরি খুব ভালো একটা কাজ হবে️। শুভকামনা রইলো,2
এটা কি দিলেন ভাই? শুধুই ট্রেইলার দিয়ে পুরো সময়টা শেষ করে দিলেন। আবাল,2
এটা করা ঠিক হয়নি।এমনকি অরিজিনালটা দিলেও কাজটা ভালো হতো না,2
"ধোকাবাজ,,,",2
বোকা****দা,2
পুনর্জন্ম আর শুক্লপক্ষ দেখার পর বড় বড় রেস্টুরেন্ট গুলায় চিকেন ছাড়া অন্য কোনো মাংস খেতে পারি না 🥹🥹,0
আগামী ১ বছরের মধ্যে চরকী হবে বাংলার সব থেকে বড় ওটিটি প্লাটফর্ম। অসাধারণ সব ওয়েব সিরিজের সমন্বয়েই চরকী ️️,1
"আশা করা যায়, ভালো কিছু হবে।",2
Part 2 টা কবে আসছে?,1
আমার কি প্রেম হবে না ১৮ বছর ধরে আমি সিঙ্গেল😞😞😞,0
No srikanto this is চরিত্রহীন,2
পুরা সিরিজ টা ভালো চলতেছিল। শেষ এ মধু আইসা ওভার এক্টিং এর দোকান খুলে বসছে(2),2
ন্যাকা দেবী আমার,2
ওকে তাই বলবো এবার,0
মধুমিতাকে দেখতে এত্ত বিরক্ত লাগে। নরমাল ভাবে কথা-ই বলতে পারে না।,2
"মধুমিতা কে সত্য খুব খারাপ দেখতে। নায়িকাসুলভ কিছু নেই। না লালিত্য, না শার্পনেস।",2
এইটা সেষ দেখতে চাই ধন্যবাদ,1
নিহাল আর আরিফিন কে চায়,1
এই নাটক সেন্সর পেলো কেমনে,2
অসাধারণ মুভি,1
আকাশ জুড়ে মেঘ' এর নতুন পর্ব দিন,1
বাংলার লিপস্টিক নায়ক শাকিব।,2
অনেক বার দেখেছি।সব থেকে নেভির অভিনয় ভাল লেগেছে।,1
নতুন পর্ব দিন,1
bng নেক্সট সিজন কি আসবে না?,1
অসাধারণ মুভি,1
একদিনে একটা একটা দেখতে ভালো লাগে না সব গুলো এক সাথে দিলে কি হয়,1
আগে মাহিরে খুব ভালো লাগতো কিন্তু যখন জানলাম ওর বাড়ি চাপাইনবাবগঞ্জ তার পর থেকে মন থেকেই উঠে গেলো,2
হারেস এর কথা বার্তার স্টাইল টা ভালো লাগছে!,1
ফাহমি অভিনয় না করলেই ভালো আমি মনে করি।,2
আশা করি ভালো লাগবে!!! দেখা শুরু করলাম,1
"দেখলাম সাকিল, চট্টগ্রাম।",0
অপেক্ষায় ছিলাম,0
মনে হয় সুট করা হয়ছে কেরানীগঞ্জ পাড়াগ্রাম গরুর হাটে,0
